課程名稱,上課地點,開放報名,開課日期,性質,職業分類
保養品配方設計調製實作班第01期,臺南市北區西門路四段367號4樓,2022/11/18,2022/12/18,在職,藝術與設計
各式風格編織家飾班第02期,臺南市東區自由路1段187號,2022/11/17,2022/12/17,在職,藝術與設計
土地登記實務與信託法班第04期,臺南市永康區中山東路430號2樓2B教室,2022/11/17,2022/12/17,在職,行政與管理
平面排版與創意視覺設計班第02期,臺南市東區大同路2段615號21樓,2022/11/14,2022/12/14,在職,藝術與設計
Raspberry 單板電腦藍芽通訊設計班第01期,臺南市中西區赤嵌街41號2樓,2022/11/14,2022/12/26,在職,科技與資訊技術
POWER BI大數據管理應用班第01期,臺南市東區中華東路３段18號2樓,2022/11/11,2022/12/11,在職,科技與資訊技術
創意各式造型毛線設計班第01期,臺南市東區自由路１段187號1樓,2022/11/11,2022/12/11,在職,藝術與設計
金屬珠寶飾品加工班第01期,臺南市中西區觀亭街76號,2022/11/11,2022/12/11,在職,藝術與設計
花藝空間設計班第02期,臺南市新營區文昌街26-7號,2022/11/10,2022/12/10,在職,藝術與設計
Excel實務應用進階班第02期,臺南市善化區中山路152號,2022/11/10,2022/12/11,在職,行政與管理
急救人員訓練班第01期,臺南市南區大成路１段五號(B棟教學大樓3樓B32教室),2022/11/10,2022/12/10,在職,行政與管理
不動產估價人才基礎訓練B班第02期,臺南市安平區永華路２段248號8樓之2,2022/11/10,2022/12/10,在職,行政與管理
土地法規訓練班第01期,臺南市中西區民族路２段76之10號5樓3,2022/11/07,2022/12/07,在職,行政與管理
企業團康活動設計與帶領技巧實務班第01期,臺南市永康區中山東路432號2F,2022/11/07,2022/12/28,在職,行政與管理
Python資料分析應用班第01期,臺南市永康區崑大路195號,2022/11/07,2022/12/07,在職,科技與資訊技術
地政士民法概要研析班第04期,臺南市永康區中山東路430號2樓2B教室,2022/11/07,2022/12/07,在職,行政與管理
農特產伴手禮網路行銷企劃班 第01期,臺南市,2022/11/07,2022/12/28,職前,行政與管理
歐法麵包甜點班 第01期,臺南市,2022/11/07,2022/12/08,職前,餐飲業
Python AI影像辨識班第01期,臺南市東區大學路1號成功大學自強校區,2022/11/06,2022/12/06,在職,科技與資訊技術
EXCEL企業資訊管理應用進階班第01期,臺南市東區大學路1號成功校區,2022/11/06,2022/12/06,在職,行政與管理
共有土地處分與農地利用實務班第01期,臺南市中西區民族路２段76-10號5樓之3,2022/11/04,2022/12/04,在職,行政與管理
魅力表達班第02期,臺南市南區南門路261號,2022/11/04,2022/12/04,在職,行政與管理
越南語生活會話基礎班第01期,臺南市東區中華東路２段77號9樓之3,2022/11/04,2022/12/04,在職,科技與資訊技術
商品攝影及旅遊美拍實戰班第01期,臺南市永康區鹽和街244號,2022/11/04,2022/12/04,在職,藝術與設計
智慧大數據分析Excel與Power BI雲端應用班第01期,臺南市中西區大埔街52號,2022/11/04,2022/12/04,在職,科技與資訊技術
Photoshop影像編輯實務班第02期,臺南市東區長榮路１段225號B1,2022/11/04,2022/12/11,在職,科技與資訊技術
到宅坐月子專業服務培訓班第01期,臺南市東區長榮路１段225號B1,2022/11/03,2022/12/03,在職,行政與管理
跨境電商新手採購實務班第01期,臺南市東區中華東路３段18號4樓,2022/11/03,2022/12/03,在職,行政與管理
AutoCAD電腦輔助消防圖說繪圖實務班第01期,臺南市永康區中華路425號22樓之2,2022/11/03,2022/12/03,在職,藝術與設計
智慧大數據分析Excel與Power Query自動化實務活用班第01期,臺南市中西區大埔街52號,2022/11/03,2022/12/03,在職,科技與資訊技術
會計人員稅務應用實務班第01期,臺南市南區南門路261號2樓,2022/11/03,2022/12/03,在職,行政與管理
房地產相關稅負節稅分析與新古屋投資實務訓練班第01期,臺南市安平區建平十七街33號2樓,2022/11/02,2022/12/02,在職,行政與管理
職業安全管理師抵充班第01期,臺南市善化區南科三路9號3樓,2022/11/01,2022/12/01,在職,行政與管理
半導體製程與封裝實務訓練班,"臺南市永康區南台街一號(南臺科技大學) Q403, K103教室",2022/11/01,2022/12/12,青年,科技與資訊技術
急救人員安全衛生教育訓練C班第03期,臺南市永康區中華路425號22樓之2,2022/10/31,2022/11/30,在職,行政與管理
地政士土地法規實務班第04期,臺南市永康區中山東路430號2樓2B教室,2022/10/28,2022/11/27,在職,行政與管理
太陽光電應用班第01期,臺南市中西區西門路２段48號1樓,2022/10/28,2022/11/28,在職,科技與資訊技術
就業服務人力仲介及管理B班第07期,臺南市永康區中山東路430號3樓3B教室,2022/10/27,2022/11/26,在職,行政與管理
AutoCAD電腦輔助機械製圖班第01期,臺南市北區成功路2號2樓之2,2022/10/27,2022/11/26,在職,科技與資訊技術
服飾與鈎織技巧應用班第01期,臺南市南區建南路178號3F/4F,2022/10/27,2022/11/26,在職,科技與資訊技術
芳香精油能量應用培訓班第01期,臺南市中西區府前路１段88號9樓,2022/10/27,2022/11/26,在職,科技與資訊技術
行銷新手影片剪輯班第01期,臺南市中西區西門路２段48號1樓,2022/10/26,2022/12/22,在職,行政與管理
健康促進律動應用實務班第01期,臺南市永康區中山東路432號2F,2022/10/26,2022/12/16,在職,行政與管理
韓語初階B班第02期,臺南市東區中華東路3段18號2樓,2022/10/26,2022/11/25,在職,科技與資訊技術
地政士土地稅法規實務班第04期,臺南市永康區中山東路430號2樓2B教室,2022/10/26,2022/11/25,在職,行政與管理
交通相關法規概要專業訓練班第01期,臺南市南區南門路261號2樓,2022/10/26,2022/11/25,在職,行政與管理
辦公室軟體綜合運用實務班第03期,臺南市東區長榮路１段225號B1,2022/10/26,2022/12/28,在職,行政與管理
理燙髮材料操作運用實務班第01期,臺南市永康區中華路349號12樓之2,2022/10/25,2022/11/24,在職,行政與管理
TTQS訓練機構版指標課程暨簡報設計B班第02期,臺南市南區南門路261號,2022/10/25,2022/11/24,在職,建築與工程
細木工家具(唐榮遊艇工業有限公司) 第04期,臺南市,2022/10/24,2022/12/01,職前,藝術與設計
耕地分割、農舍登記與375租賃實用及特殊案例研析班第03期,臺南市永康區中山東路430號,2022/10/23,2022/11/22,在職,行政與管理
職業安全管理師(抵充46小時)訓練班第01期,臺南市中西區大埔街52號,2022/10/22,2022/11/21,在職,行政與管理
室內空間設計實務班第01期,臺南市北區成功路2號2樓之2,2022/10/22,2022/11/21,在職,藝術與設計
小編社群經營影音行銷班第01期,臺南市東區中華東路３段18號3樓3A教室,2022/10/22,2022/11/21,在職,科技與資訊技術
APMA美國國際專案管理師培訓班第01期,臺南市仁德區二仁路１段60號,2022/10/21,2022/11/20,在職,行政與管理
甲種職業安全衛生業務主管訓練B班第03期,臺南市東區東門路２段89號10樓,2022/10/21,2022/11/20,在職,行政與管理
芳療照護培訓班第01期,臺南市中西區府前路１段88號9樓,2022/10/21,2022/11/20,在職,行政與管理
智能機械產品設計班 第01期,臺南市,2022/10/21,2022/12/29,職前,藝術與設計
提升中小企業財報解析運用及企業租稅實務班第01期,臺南市永康區中華路425號22樓之2,2022/10/20,2022/11/19,在職,行政與管理
ESG企業永續報告輔導人員訓練班第01期,臺南市北區小東路25號,2022/10/20,2022/11/19,在職,行政與管理
顧問式神秘客培訓B班第01期,臺南市東區北門路２段16號2樓,2022/10/20,2022/11/19,在職,科技與資訊技術
數位行銷與電子商務實務班第02期,臺南市中西區赤嵌街41號2樓,2022/10/20,2022/11/19,在職,行政與管理
醫療物聯網環控系統規劃與設計班第01期,臺南市中西區赤嵌街41號2樓,2022/10/20,2022/11/20,在職,建築與工程
無人機組裝及飛行技能培訓B班第02期,臺南市永康區中華路425號22樓之2,2022/10/20,2022/11/20,在職,建築與工程
不動產訴訟技巧與房市調查實務班第02期,臺南市中西區民族路２段76之10號5樓3,2022/10/19,2022/12/02,在職,行政與管理
手機拍攝技巧應用班第01期,臺南市中西區民族路２段76之10號5樓3,2022/10/18,2022/11/17,在職,科技與資訊技術
國際商用日文應用班第01期,臺南市東區長榮路１段225號B1 (D教室),2022/10/18,2022/11/17,在職,行政與管理
房務與餐飲服務人員培訓班 第01期,臺南市,2022/10/18,2022/10/31,職前,行政與管理
LINE官方帳號行銷班第01期,臺南市中西區西門路２段48號1樓,2022/10/17,2022/11/16,在職,科技與資訊技術
採購談判議價實務班第01期,臺南市南區南門路261號2樓,2022/10/16,2022/11/15,在職,行政與管理
公寓大廈管理維護爭議處理培訓班第01期,臺南市中西區民權路３段447巷1號,2022/10/16,2022/11/15,在職,行政與管理
Power BI 數據圖表設計班第01期,臺南市中西區西門路２段48號1樓,2022/10/16,2022/11/16,在職,科技與資訊技術
Google Analytics 網站數據分析與商業數據分析應用班第01期,臺南市中西區樹林街二段33號(思源二樓）,2022/10/14,2022/11/13,在職,科技與資訊技術
訓練講師職能實務班第03期,臺南市東區崇德路189號2樓,2022/10/14,2022/11/13,在職,行政與管理
企業表單流程與成本管理實務班第01期,臺南市安南區塩田路361號,2022/10/14,2022/11/13,在職,行政與管理
木工裝潢進階第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
文創商品設計-陶藝與雷射技術(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
木工裝潢第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
CNC電腦數值控制車床(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
智慧控制科技農業應用第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
視覺傳達設計應用(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
電控工程師(進階一)第03期,臺南市,2022/10/14,2022/12/11,在職,建築與工程
電腦輔助設計與製造(CAD/CAM)(三)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
網路行銷實務第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
遙控無人機實務第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
數位攝影與影像編輯設計(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
機電整合控制(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
簡易家具設計及製作(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
TIG氬氣鎢極電銲(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
小家電修護(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
工業4.0人工智慧物聯網(AI＆IoT)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
工業配線丙級第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
生活產品製作(木質)第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
乙級室內配線第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
工業機器人控制基礎第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
CNC銑床控制器操作第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
CNC銑床控制器操作(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
CNC銑床操作基礎(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
Inventor 3D 電腦繪圖基礎第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
NX CAD/CAM實務-進階第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
PC-BASED控制基礎與智慧機械概論第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
PLC可程式控制與應用第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
PowerMILL銑床第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
SolidWorks電腦繪圖與3D列印(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
在地點心與創意伴手禮(三)第03期,臺南市,2022/10/14,2022/12/11,在職,餐飲業
自來水配管丙級(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
室內配線丙級第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
建築資訊模型（BIM）Autodesk Revit實務第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
烘焙檢定麵包餅乾蛋糕伴手禮乙級(二)第03期,臺南市,2022/10/14,2022/12/11,在職,餐飲業
蛋糕裝飾與咖啡調製(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
創意商品設計自造第03期,臺南市,2022/10/14,2022/12/11,在職,藝術與設計
創意歐式糕點製作及飲品班(夜間一)第03期,臺南市,2022/10/14,2022/12/11,在職,餐飲業
Arduino應用控制第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
AutoCAD實用(夜間)第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
CNC車銑複合第03期,臺南市,2022/10/14,2022/12/11,在職,科技與資訊技術
機電設備故障檢測第03期,臺南市,2022/10/14,2022/12/11,在職,行政與管理
剪髮與手棒造型實務班第01期,臺南市北區西門路四段367號4樓,2022/10/13,2022/11/12,在職,藝術與設計
Google Apps Script雲端程式設計實務班第01期,臺南市永康區崑大路195號,2022/10/12,2022/12/03,在職,科技與資訊技術
長照醫療與保險服務創新班第01期,臺南市南區南門路261號2樓,2022/10/11,2022/11/10,在職,行政與管理
芳療經絡按摩保健養生班第01期,臺南市中西區府前路１段88號9樓,2022/10/10,2022/11/09,在職,餐飲業
網路花店經營應用班第02期,臺南市東區長榮路１段225號B1,2022/10/09,2022/12/27,在職,行政與管理
MySQL資料庫設計語言與規劃實務班第01期,臺南市中西區赤嵌街41號2樓,2022/10/09,2022/11/08,在職,科技與資訊技術
美髮造型技能班第01期,臺南市六甲區中華路105號1樓,2022/10/07,2022/12/04,在職,藝術與設計
3ds Max室內設計班第01期,臺南市東區中華東路３段18號3樓3A教室,2022/10/07,2022/11/06,在職,藝術與設計
EXCEL精通函數與關鍵技巧實務班第01期,臺南市東區中華東路３段18號2樓,2022/10/07,2022/11/06,在職,科技與資訊技術
化妝保養品配方設計與調製實作進階班第02期,臺南市東區大學路1號(國立成功大學力行校區),2022/10/07,2022/11/06,在職,行政與管理
企業財務報表解析與財務管理策略實務班第02期,臺南市東區大學路1號(國立成功大學力行校區),2022/10/07,2022/11/06,在職,行政與管理
室內裝修工程管理學士學分班第04期,臺南市東區長榮路１段225號B1,2022/10/07,2022/11/06,在職,行政與管理
職場多益英文實務班第01期,臺南市永康區中華路425號22樓之2,2022/10/07,2022/11/20,在職,行政與管理
傳統整復推拿技術人員班第01期,臺南市安平區府前三街27號,2022/10/07,2022/11/06,在職,行政與管理
品牌故事行銷整合實作班第01期,臺南市東區中華東路三段18號2樓,2022/10/06,2022/12/14,在職,行政與管理
創意手工皂應用進階班第01期,臺南市東區東門路３段253號5樓之1,2022/10/06,2022/11/05,在職,科技與資訊技術
會計技能實務班第02期,臺南市安南區塩田路361號,2022/10/06,2022/11/05,在職,行政與管理
就業服務與勞動法令訓練班第08期,臺南市南區南門路261號,2022/10/06,2022/11/05,在職,行政與管理
不動產社群經營與行銷實務訓練初階班第02期,臺南市安平區建平十七街33號2樓,2022/10/05,2022/11/04,在職,行政與管理
台南觀光英語導覽口說演練班第03期,臺南市永康區中山東路430號3樓3B教室,2022/10/05,2022/12/09,在職,行政與管理
ESG人才培育與企業永續規劃人員班第01期,臺南市仁德區二仁路１段60號,2022/10/05,2022/11/05,在職,行政與管理
芳香療法保健實務班第01期,臺南市中西區府前路１段88號九樓,2022/10/04,2022/11/03,在職,行政與管理
不動產經紀營業員進階訓練班第03期,臺南市中西區民族路二段76-10號5樓之3,2022/10/03,2022/11/02,在職,行政與管理
芳療門市顧客服務與網路行銷技能培訓班第01期,臺南市中西區府前路１段88號9樓,2022/10/03,2022/11/02,在職,行政與管理
Access資料庫管理與Power BI視覺化分析訓練班第01期,臺南市永康區中山東路430號4F4B教室,2022/10/02,2022/12/19,在職,科技與資訊技術
居家收納整理培力實務班第01期,臺南市永康區中山東路432號2F,2022/10/02,2022/11/01,在職,行政與管理
職業衛生管理師抵充班第01期,臺南市善化區南科三路9號3樓,2022/10/02,2022/11/01,在職,行政與管理
西點蛋糕製作班第01期,臺南市新營區復興路251-1號2樓,2022/10/01,2022/10/31,在職,餐飲業
無線控制與Arduino微控制器開發班第01期,臺南市永康區中山路94巷1-3號3樓 (B3教室),2022/09/30,2022/10/31,在職,科技與資訊技術
傳統整復推拿初級技術員課程(刮痧與拔罐)班第01期,臺南市東區長榮路一段225號B1F,2022/09/30,2022/10/30,在職,行政與管理
越南語會話初級班第01期,臺南市東區長榮路１段225號,2022/09/30,2022/11/13,在職,科技與資訊技術
心智圖法邏輯思考與創新工作管理應用班第01期,臺南市東區大學路1號(國立成功大學力行校區),2022/09/29,2022/10/29,在職,行政與管理
3D列印珠寶建模設計班第02期,臺南市安南區台江大道3段600號4樓,2022/09/29,2022/10/29,在職,藝術與設計
多媒體運用培力實務班第01期,臺南市永康區中山東路430號,2022/09/28,2022/10/28,在職,科技與資訊技術
商業花店經營暨手機攝影班第01期,臺南市東區長榮路１段225號B1,2022/09/27,2022/12/12,在職,藝術與設計
流行皮件應用班第01期,臺南市中西區大埔街50號2樓,2022/09/24,2022/10/24,在職,科技與資訊技術
Sketch Up 3D室內設計與空間渲染表現學士學分班第01期,臺南市永康區崑大路195號,2022/09/23,2022/10/23,在職,藝術與設計
人機介面與三菱伺服控制訓練班第01期,臺南市永康區崑大路195號,2022/09/23,2022/10/23,在職,科技與資訊技術
金銀珠寶首飾加工班第01期,臺南市永康區中正路529號,2022/09/23,2022/10/23,在職,藝術與設計
人力資源管理實務訓練班第01期,臺南市永康區中華路425號22樓之2,2022/09/23,2022/10/23,在職,行政與管理
醫療器材法規實務策略解析A班第07期,臺南市永康區中山東路430號,2022/09/22,2022/11/19,在職,行政與管理
企業講師實務培訓班第01期,臺南市東區中華東路３段18號2樓,2022/09/22,2022/10/22,在職,行政與管理
壓花乾燥花永生花UV膠設計班第02期,臺南市東區自由路一段187號,2022/09/22,2022/10/22,在職,藝術與設計
幼兒清潔護膚品實作班第03期,臺南市中西區南寧街140號4F,2022/09/22,2022/10/22,在職,行政與管理
健康保健實務管理班第05期,臺南市東區崇德路189號2樓,2022/09/22,2022/10/22,在職,行政與管理
ASP.NET Core網站開發與智慧物聯網應用班第01期,臺南市東區中華東路３段18號2樓,2022/09/22,2022/10/22,在職,科技與資訊技術
IPMA國際專案管理實務應用實戰班第01期,臺南市永康區崑大路195號,2022/09/22,2022/10/22,在職,行政與管理
職業災害處理解析實務班第01期,臺南市永康區中華路425號22樓之2,2022/09/21,2022/10/21,在職,行政與管理
小農數位行銷實務班第02期,臺南市新營區復興路251-2號1樓(由251-1號大門進出),2022/09/21,2022/10/21,在職,行政與管理
三菱Q系列可程式控制進階訓練班第01期,臺南市永康區中山路94巷1-3號3樓 (B3教室),2022/09/21,2022/10/21,在職,科技與資訊技術
EXCEL整合應用班第01期,臺南市東區中華東路３段18號3樓3A教室,2022/09/18,2022/11/29,在職,藝術與設計
民法實例與不動產糾紛個案實務研析班第03期,臺南市永康區中山東路430號,2022/09/18,2022/10/18,在職,行政與管理
美容護膚與彩妝進階班第01期,臺南市永康區中華路349號15樓之2,2022/09/18,2022/10/18,在職,科技與資訊技術
不動產經紀營業員訓練B班第02期,臺南市安平區永華路二段248號10樓之2,2022/09/17,2022/10/17,在職,行政與管理
手語多元技能培力實務班第01期,臺南市永康區中山東路432號2F,2022/09/17,2022/10/17,在職,行政與管理
自然農法栽植與病蟲害管理實務班第01期,臺南市東區中華東路三段18號2樓,2022/09/17,2022/11/21,在職,行政與管理
嬰幼兒服飾設計製作班第01期,臺南市南區建南路178號3F/4F,2022/09/16,2022/10/16,在職,藝術與設計
機車故障排除二階技能班第01期,臺南市南區南門路261號,2022/09/16,2022/10/16,在職,行政與管理
時尚彩妝手繪設計圖及整體造型設計班第01期,臺南市東區自由路１段187號1樓,2022/09/16,2022/10/16,在職,藝術與設計
手繪式自媒體行銷圖文動畫實務班第01期,臺南市東區中華東路三段18號2樓,2022/09/16,2022/10/16,在職,科技與資訊技術
社群行銷規劃人才培訓班 第01期,臺南市,2022/09/16,2022/12/21,職前,行政與管理
企業永續發展ESG人才培訓B班第02期,臺南市中西區大埔街52號,2022/09/15,2022/10/15,在職,行政與管理
電商網頁設計C班第01期,臺南市東區中華東路３段18號4樓4A教室,2022/09/15,2022/10/29,在職,科技與資訊技術
Word與Excel職場運用實務班第01期,臺南市永康區中山東路430號4F4B教室,2022/09/15,2022/10/15,在職,行政與管理
坐月子專業人員班第03期,臺南市仁德區文華一街89號,2022/09/15,2022/10/15,在職,行政與管理
EXCEL辦公室必備職能班第01期,臺南市善化區南科三路26號2樓,2022/09/15,2022/10/15,在職,行政與管理
IATF16949:2016內稽人員與五大工具實務訓練班第01期,臺南市善化區南科三路26號2樓,2022/09/15,2022/10/15,在職,行政與管理
深開挖擋土支撐設計及施工訓練班第01期,臺南市東區林森路１段149號4樓之8,2022/09/15,2022/10/15,在職,行政與管理
花藝會場佈置班第02期,臺南市南區南門路261號,2022/09/15,2022/10/15,在職,藝術與設計
機電整合進階班第01期,臺南市永康區崑大路195號,2022/09/15,2022/11/05,在職,行政與管理
智慧零售營銷資料分析實務應用班第01期,臺南市仁德區二仁路１段60號,2022/09/15,2022/10/15,在職,行政與管理
五加二產業資料庫與大數據應用人才培訓班第六期,臺南市永康區中山東路430號（遠距教學）,2022/09/15,2022/12/29,青年,科技與資訊技術
房地合一2.0與不動產稅務實務分析班第02期,臺南市安平區建平十七街33號2樓,2022/09/14,2022/10/15,在職,行政與管理
多功能核心運動實務班第04期,臺南市東區崇德路189號2樓,2022/09/14,2022/10/14,在職,行政與管理
中階主管管理才能訓練班第01期,臺南市北區小東路25號,2022/09/14,2022/10/15,在職,行政與管理
顧問式神秘客培訓A班第01期,臺南市東區北門路２段16號2樓,2022/09/14,2022/10/14,在職,科技與資訊技術
公寓大廈設施設備點交檢測培訓班第01期,臺南市中西區民權路３段447巷1號,2022/09/14,2022/10/14,在職,行政與管理
TTQS訓練機構版指標課程暨簡報設計A班第02期,臺南市新營區文昌街２６－７號,2022/09/13,2022/10/13,在職,建築與工程
不動產經紀營業員進階訓練班第02期,臺南市中西區民族路２段76之10號5樓3,2022/09/13,2022/10/13,在職,行政與管理
資訊安全管理實務班第01期,臺南市永康區中華路425號22樓之2,2022/09/13,2022/11/24,在職,行政與管理
職災爭議處理及勞基法工資工時實務班第01期,臺南市南區南門路261號2樓,2022/09/12,2022/10/12,在職,行政與管理
