課程名稱,上課地點,開放報名,開課日期,性質,職業分類
電商影音剪輯班第01期,新竹市新竹市中正路146號5樓,2022/09/01,2022/10/15,在職,行政與管理
皮雕皮革實作班第02期,新竹市新竹市田美三街2號4樓,2022/08/30,2022/09/30,在職,藝術與設計
WordPress網站架設實務班第01期,新竹市新竹市光復路２段101號,2022/08/26,2022/09/26,在職,科技與資訊技術
針車操作就業技能培訓班 第01期,新竹市,2022/08/22,2022/10/17,職前,行政與管理
台灣AI行動計畫-資料科學大數據模組加強班第01期,新竹市新竹市民族路31號11樓,2022/08/21,2022/09/21,在職,科技與資訊技術
新多益閱讀訓練班第01期,新竹市新竹市民族路31號11樓,2022/08/19,2022/09/19,在職,藝術與設計
新產品開發過程預防工具實務運用訓練班第01期,新竹市新竹市光復路二段350號5樓,2022/08/19,2022/09/18,在職,行政與管理
商用英文會話及商用書信實務班第01期,新竹市新竹市工業東二路1號2F,2022/08/19,2022/09/18,在職,行政與管理
瑜珈教學人員實務班第03期,新竹市新竹市竹蓮街6號2樓,2022/08/19,2022/09/18,在職,行政與管理
Python網頁開發第02期 [全程線上遠距授課]第02期,新竹市新竹市光復路二段101號 (清華大學第四綜合大樓2樓),2022/08/18,2022/11/27,在職,科技與資訊技術
Java程式設計第01期[全程線上遠距授課]第01期,新竹市新竹市光復路二段101號 (清華大學第四綜合大樓2樓),2022/08/18,2022/10/22,在職,科技與資訊技術
智慧機械-SolidWorks智能組件應用進階班第01期,新竹市新竹市民族路31號11樓,2022/08/18,2022/11/27,在職,科技與資訊技術
台灣AI行動計畫-智慧自動化與邏輯電路設計應用班第01期,新竹市新竹市民族路31號11樓,2022/08/17,2022/10/15,在職,科技與資訊技術
財務與資產管理實務班第02期,新竹市新竹市工業東二路1號2樓,2022/08/17,2022/09/17,在職,行政與管理
經典中華料理廚藝技能培訓班第01期,新竹市新竹市元培街306號,2022/08/17,2022/09/17,在職,餐飲業
智慧農業無人機應用探索學習班第01期,新竹市新竹市大湖路51巷1號,2022/08/16,2022/09/17,在職,科技與資訊技術
毛線編織實作班第01期,新竹市新竹市田美三街2號,2022/08/16,2022/09/17,在職,科技與資訊技術
Photoshop影像處理訓練班第01期,新竹市新竹市民族路31號10樓,2022/08/15,2022/09/29,在職,科技與資訊技術
企業內部大型活動規劃與執行實務班第01期,新竹市新竹市科學園區展業一路2號,2022/08/15,2022/09/15,在職,行政與管理
Java 程式暨資料庫開發設計培訓班,新竹市中華路二段393號,2022/08/15,2022/11/15,青年,科技與資訊技術
熱情拉丁舞蹈訓練班第03期,新竹市新竹市竹蓮街6號2樓,2022/08/14,2022/09/14,在職,科技與資訊技術
新農業現代化創新農業管理班第04期,新竹市新竹市光復路２段101號,2022/08/14,2022/09/14,在職,行政與管理
Python人工智慧與資料科學人才養成班第03期[全程線上遠距授課] 第03期,新竹市,2022/08/11,2022/09/21,職前,建築與工程
Python人工智慧與資料科學人才養成班第04期[全程線上遠距授課] 第04期,新竹市,2022/08/11,2022/10/31,職前,科技與資訊技術
FPGA 系統晶片應用設計工程師培訓班(第三梯),新竹市光復路二段3號,2022/08/08,2022/09/26,青年,建築與工程
雲端Excel函數實務應用班第01期,新竹市新竹市北大路307號9樓之4,2022/08/06,2022/09/06,在職,科技與資訊技術
電商商品攝影實務應用班第02期,新竹市新竹市田美三街二號1樓-多功能教室,2022/08/03,2022/09/03,在職,行政與管理
全方位舞蹈訓練班第01期,新竹市新竹市湳雅街147巷32號,2022/08/02,2022/08/23,在職,科技與資訊技術
凝膠美甲專業技能實務班第01期,新竹市新竹市林森路49號3樓,2022/08/01,2022/08/20,在職,行政與管理
中式美食小吃烹調訓練班第02期,新竹市新竹市田美三街2號,2022/08/01,2022/09/01,在職,餐飲業
傳統整復推拿全身調理手法訓練班第02期,新竹市新竹市田美三街2號4樓,2022/08/01,2022/08/20,在職,行政與管理
國際數位行銷與跨境電商經營實務培訓班,新竹市南大路521號,2022/08/01,2022/10/17,青年,行政與管理
AIOT機械智動化設計工程師培訓班-第1梯次,新竹市民族路31號11樓,2022/08/01,2022/10/19,青年,建築與工程
金融科技人才養成班,新竹市光復路二段101號 綜合第四大樓2樓221室,2022/08/01,2022/10/24,青年,行政與管理
IC 封裝測試人才就業培訓專班,新竹市香山區五福路二段707號,2022/08/01,2022/09/05,青年,建築與工程
Martech大數據數位行銷工程師養成班,新竹市香山區玄奘路48號,2022/08/01,2022/10/06,青年,科技與資訊技術
財富管理與數位金融人才培訓班,新竹市東區光復路二段101號,2022/08/01,2022/09/15,青年,行政與管理
機械智動化與3D列印工程師培訓班-第1梯次,新竹市民族路31號11樓,2022/08/01,2022/12/05,青年,建築與工程
智慧機械與AI人工智慧技術應用工程師培訓班-第1梯次,新竹市民族路31號11樓,2022/08/01,2022/12/28,青年,建築與工程
智慧機械製圖設計工程師培訓班-第1梯次,新竹市民族路31號11樓,2022/08/01,2022/11/08,青年,建築與工程
日式池坊自由創作設計班第01期,新竹市新竹市林森路49號3樓,2022/07/30,2022/08/17,在職,藝術與設計
拉丁舞蹈訓練班第01期,新竹市新竹市湳雅街147巷32號,2022/07/30,2022/08/16,在職,科技與資訊技術
西歐花藝美學設計班第01期,新竹市新竹市林森路49號3樓,2022/07/30,2022/08/16,在職,藝術與設計
東歐花藝美學創作班第01期,新竹市新竹市林森路49號3樓,2022/07/30,2022/08/15,在職,藝術與設計
流行MV舞派對燃脂有氧班第02期,新竹市新竹市竹蓮街6號2樓,2022/07/28,2022/08/28,在職,科技與資訊技術
會場花藝創作設計班第02期,新竹市新竹市田美三街2號4樓,2022/07/28,2022/08/27,在職,藝術與設計
半導體與IC整合工程人才培訓班,新竹市香山區五福路二段707號,2022/07/28,2022/08/08,青年,建築與工程
麵食點心烘焙班第02期,新竹市新竹市田美三街2號,2022/07/27,2022/08/13,在職,餐飲業
電商基礎概念班第01期,新竹市新竹市中正路146號5樓,2022/07/27,2022/08/13,在職,行政與管理
LINE官方帳號結合電商數位轉型實作班第01期,新竹市新竹市中正路146號5樓,2022/07/26,2022/08/16,在職,科技與資訊技術
國標舞人才訓練班第02期,新竹市新竹市湳雅街147巷32號,2022/07/26,2022/08/10,在職,建築與工程
挽臉美容專業人員進階班第01期,新竹市新竹市光華街91號5樓,2022/07/25,2022/07/30,在職,行政與管理
園藝造景製作班第02期,新竹市新竹市田美三街2號4樓,2022/07/25,2022/08/05,在職,行政與管理
台灣AI行動計畫-Python應用程式設計進階班第01期,新竹市新竹市民族路31號11樓,2022/07/21,2022/08/21,在職,科技與資訊技術
數位轉型創新應用人才養成班(第一梯),新竹市光復路二段101號,2022/07/20,2022/10/18,青年,建築與工程
數位轉型創新應用人才養成班(第二梯),新竹市光復路二段101號,2022/07/20,2022/11/29,青年,建築與工程
智慧機械-SolidWorks設計製圖與3D列印模型製造班第01期,新竹市新竹市民族路31號11樓,2022/07/17,2022/11/12,在職,科技與資訊技術
半導體在職專班第02期第02期,新竹市新竹市東區大學路1001號,2022/07/11,2022/11/05,在職,行政與管理
台灣AI行動計畫-資料科學PYTHON程式設計進階班第01期,新竹市新竹市民族路31號11樓,2022/07/10,2022/08/10,在職,科技與資訊技術
坐月子居家服務員訓練班 第01期,新竹市,2022/07/05,2022/10/03,職前,行政與管理
美髮準師專業人才班 第01期,新竹市,2022/06/27,2022/07/11,職前,行政與管理
WordPress網站架設實務班第02期,新竹市新竹市光復路２段101號,2022/06/25,2022/07/25,在職,科技與資訊技術
實務美髮設計師培訓就業班 第01期,新竹市,2022/06/24,2022/10/03,職前,行政與管理
電腦影像美編設計(新竹) 第03期,新竹市,2022/06/20,2022/10/17,職前,藝術與設計
台灣AI行動計畫-無線控制與Arduino微控制器整合應用訓練班第01期,新竹市新竹市民族路31號11樓,2022/06/16,2022/07/16,在職,科技與資訊技術
半導體實務人才企業專班 第01期,新竹市,2022/06/15,2022/08/03,職前,行政與管理
多元半導體人才養成班 第02期,新竹市,2022/06/15,2022/08/01,職前,建築與工程
台灣AI行動計畫-Python程式設計基礎班第01期,新竹市新竹市民族路31號11樓,2022/06/14,2022/07/14,在職,科技與資訊技術
智慧機械-SolidWorks智能組件應用基礎班第01期,新竹市新竹市民族路31號11樓,2022/06/03,2022/07/03,在職,科技與資訊技術
台灣AI行動計畫-資料科學PYTHON程式設計初級班第01期,新竹市新竹市民族路31號11樓,2022/05/29,2022/06/29,在職,科技與資訊技術
Python人工智慧與資料科學人才養成班[全程線上遠距授課] 第02期,新竹市,2022/05/28,2022/07/13,職前,科技與資訊技術
新制多益聽力閱讀訓練實務基礎班第01期,新竹市新竹市工業東二路1號2樓,2022/05/25,2022/06/25,在職,行政與管理
熱蠟美膚專業實務班第01期,新竹市新竹市林森路49號3樓,2022/05/25,2022/06/25,在職,行政與管理
文創商品開發暨illustrator設計行銷班第01期,新竹市新竹市田美三街二號1樓,2022/05/25,2022/06/25,在職,藝術與設計
智慧機械-Inventor工業繪圖與3D模型列印製作班第01期,新竹市新竹市民族路31號11樓,2022/05/22,2022/11/15,在職,科技與資訊技術
台灣AI行動計畫-Python程式設計基礎班第02期,新竹市新竹市民族路31號11樓,2022/05/19,2022/06/19,在職,科技與資訊技術
醫療器材產品與製程驗證確效班第02期,新竹市新竹市光復路２段101號,2022/05/19,2022/06/19,在職,行政與管理
觀光日語實務班第01期,新竹市新竹市田美三街2號4樓,2022/05/18,2022/06/18,在職,行政與管理
精緻手作皮革專修班第01期,新竹市新竹市田美三街2號4樓,2022/05/10,2022/06/10,在職,藝術與設計
烘焙點心暨飲料調製班(身障專班) (新竹) 第02期,新竹市,2022/05/02,2022/09/05,職前,餐飲業
Python人工智慧與資料科學人才養成班 第01期,新竹市,2022/04/26,2022/05/20,職前,科技與資訊技術
高效率Office數位內容應用實務班第01期,新竹市新竹市光復路２段101號,2022/04/23,2022/05/23,在職,科技與資訊技術
時尚美髮設計師培訓班(新住民專班) 第01期,新竹市,2022/04/22,2022/08/01,職前,建築與工程
水電節能維修班第01期,新竹市新竹市田美三街2號4樓,2022/04/21,2022/05/21,在職,行政與管理
複合式餐飲訓練班第02期,新竹市新竹市田美三街2號,2022/04/21,2022/05/21,在職,餐飲業
商務英文簡報人員訓練班第01期,新竹市新竹市科學園區展業一路2號,2022/04/21,2022/05/21,在職,行政與管理
IPMA國際專案管理實務應用班第01期,新竹市新竹市南大路521號,2022/04/14,2022/05/14,在職,行政與管理
美化網路商品與攝錄影技巧訓練班第01期,新竹市新竹市科學園區展業一路2號,2022/04/14,2022/05/14,在職,行政與管理
薪酬福利規劃與管理實務訓練班第01期,新竹市新竹市科學園區展業一路2號,2022/04/14,2022/05/14,在職,行政與管理
萃智創新手法介紹班第01期,新竹市新竹市光復路二段350號5樓,2022/04/14,2022/05/14,在職,藝術與設計
藝術造型美甲培訓班 第01期,新竹市,2022/04/13,2022/08/19,職前,藝術與設計
新多益聽力訓練班第01期,新竹市新竹市民族路31號11樓,2022/04/09,2022/05/09,在職,科技與資訊技術
瑜珈教學人員實務班第02期,新竹市新竹市竹蓮街6號2樓,2022/04/08,2022/05/08,在職,行政與管理
AR/VR頭戴顯示裝置設計與加工製作模擬班第01期,新竹市新竹市光復路２段295號17樓之1,2022/04/07,2022/05/07,在職,科技與資訊技術
電商商品攝影實務應用班第01期,新竹市新竹市田美三街二號1樓,2022/04/07,2022/05/07,在職,行政與管理
美髮師技能培訓就業班 第01期,新竹市,2022/04/07,2022/05/16,職前,行政與管理
中餐烹飪實用班 第01期,新竹市,2022/04/06,2022/06/06,職前,餐飲業
魅力新媒體行銷企劃人員培訓班 第01期,新竹市,2022/04/06,2022/09/28,職前,行政與管理
商業設計暨行政人員訓練班 第01期,新竹市,2022/04/06,2022/06/29,職前,行政與管理
AI技術應用與智慧機械培訓班 第01期,新竹市,2022/04/06,2022/08/10,職前,科技與資訊技術
機械設計與3D列印工程師訓練班 第01期,新竹市,2022/04/06,2022/07/20,職前,建築與工程
創新設計人才培訓班 第01期,新竹市,2022/04/06,2022/06/09,職前,建築與工程
機械智動化與PLC自動控制培訓班 第01期,新竹市,2022/04/06,2022/07/13,職前,建築與工程
WordPress實務商用網站設計班第01期,新竹市新竹市民族路31號11樓,2022/04/04,2022/05/04,在職,科技與資訊技術
管理會計應用與分析實務班第01期,新竹市新竹市科學園區展業一路2號,2022/03/27,2022/04/27,在職,行政與管理
AUTOCAD平面製圖訓練班第01期,新竹市新竹市民族路31號11樓,2022/03/26,2022/04/26,在職,科技與資訊技術
創意芳療商品設計行銷班第04期,新竹市新竹市光復路２段101號,2022/03/26,2022/04/26,在職,行政與管理
顧客導向創新設計思考實戰班第01期,新竹市新竹市光復路二段350號5樓,2022/03/23,2022/04/23,在職,科技與資訊技術
托育人員職業訓練平日職前BT4班 (新竹市) 第04期,新竹市,2022/03/20,2022/09/28,職前,行政與管理
托育人員職業訓練假日在職BT3班 (新竹市) 第03期,新竹市,2022/03/20,2022/07/23,職前,行政與管理
托育人員職業訓練平日職前BT2班 (新竹市) 第02期,新竹市,2022/03/20,2022/07/25,職前,行政與管理
錫工藝設計班第01期,新竹市新竹市田美三街2號4樓,2022/03/17,2022/04/17,在職,藝術與設計
SolidWorks 3D製圖-塑膠模具設計班第01期,新竹市新竹市民族路31號11樓,2022/03/16,2022/04/16,在職,科技與資訊技術
照顧服務員在職B班 第01期,新竹市,2022/03/16,2022/06/11,職前,行政與管理
多元半導體人才養成班 第01期,新竹市,2022/03/15,2022/06/01,職前,建築與工程
商用會計實務班第01期,新竹市新竹市民族路31號11樓,2022/03/12,2022/04/12,在職,行政與管理
生產規劃與排程班第01期,新竹市新竹市光復路二段350號5樓,2022/03/09,2022/04/09,在職,行政與管理
花卉藝術創作會場設計班第01期,新竹市新竹市田美三街2號4樓,2022/03/09,2022/04/09,在職,藝術與設計
服飾品配件製作班第01期,新竹市新竹市田美三街2號,2022/03/09,2022/04/09,在職,藝術與設計
Illustrator商業實用排版設計班第01期,新竹市新竹市民族路31號11樓,2022/03/07,2022/04/07,在職,科技與資訊技術
托育人員職業訓練班-假日在職班（新竹市） 第01期 第01期,新竹市,2022/03/03,2022/05/14,職前,行政與管理
托育人員職業訓練班平日職前BT1班(新竹市) 第01期,新竹市,2022/03/02,2022/05/11,職前,行政與管理
園藝仿真造景製作班第01期,新竹市新竹市田美三街2號4樓,2022/03/01,2022/04/01,在職,藝術與設計
照顧服務員訓練職前2班 第01期,新竹市,2022/03/01,2022/05/09,職前,行政與管理
(數位)中華大學IC應用工程師人才養成班,新竹市新竹市,2022/03/01,2022/06/20,青年,建築與工程
電腦影像美編設計(新竹) 第02期,新竹市,2022/03/01,2022/07/04,職前,藝術與設計
新多益閱讀訓練班第01期,新竹市新竹市民族路31號11樓,2022/02/28,2022/03/30,在職,藝術與設計
商用英文會話及商用書信實務班第01期,新竹市新竹市工業東二路1號2樓,2022/02/27,2022/03/27,在職,行政與管理
美容專業人員班第01期,新竹市新竹市林森路49號5樓,2022/02/26,2022/03/26,在職,行政與管理
照顧服務員訓練職前6班(新竹市) 第-期,新竹市,2022/02/22,2022/11/05,職前,行政與管理
照顧服務員訓練職前4班(新竹市) 第-期,新竹市,2022/02/22,2022/08/14,職前,行政與管理
照顧服務員訓練職前3班(新竹市) 第-期,新竹市,2022/02/22,2022/07/13,職前,行政與管理
創新商品開發流程實戰班第01期,新竹市新竹市工業東二路1號2樓,2022/02/19,2022/04/18,在職,科技與資訊技術
麵食點心烘焙班第01期,新竹市新竹市田美三街2號,2022/02/19,2022/03/19,在職,餐飲業
國標舞人才訓練班第01期,新竹市新竹市湳雅街147巷32號,2022/02/17,2022/03/23,在職,建築與工程
照顧服務員訓練職前5班(新竹市) 第-期,新竹市,2022/02/15,2022/10/03,職前,行政與管理
照顧服務員訓練職前1班(新竹市) 第-期,新竹市,2022/02/15,2022/03/18,職前,行政與管理
傳統整復推拿全身調理手法訓練班第01期,新竹市新竹市田美三街2號4樓,2022/02/14,2022/03/12,在職,行政與管理
電腦多媒體影音剪輯班第01期,新竹市新竹市光復路２段101號,2022/02/14,2022/03/14,在職,行政與管理
YouTube影音暨微電影技巧班第01期,新竹市新竹市民族路31號10樓,2022/02/14,2022/03/14,在職,科技與資訊技術
光學裝置成像與照明光學系統規劃與設計班第01期,新竹市新竹市光復路２段295號17樓之1,2022/02/14,2022/03/12,在職,建築與工程
QC STORY與QC手法實務介紹班第01期,新竹市新竹市光復路二段350號5樓,2022/02/13,2022/03/12,在職,科技與資訊技術
凝膠美甲專業技能實務班第01期,新竹市新竹市林森路49號3樓,2022/02/13,2022/03/12,在職,行政與管理
照顧服務員在職A班 第01期,新竹市,2022/02/11,2022/05/28,職前,行政與管理
Illustrator商業設計實務班第01期,新竹市新竹市北大路307號9樓之4,2022/02/10,2022/03/10,在職,藝術與設計
爆汗拉丁舞蹈訓練班第01期,新竹市新竹市湳雅街147巷32號,2022/01/28,2022/03/08,在職,科技與資訊技術
挽臉美容專業人員實務班第01期,新竹市新竹市光華街91號5樓,2022/01/27,2022/02/27,在職,行政與管理
韓式擠花藝術班第01期,新竹市新竹市林森路49號3樓,2022/01/25,2022/03/06,在職,藝術與設計
中餐烹調美食訓練班第01期,新竹市新竹市田美三街2號,2022/01/23,2022/03/04,在職,餐飲業
日式池坊創作設計班第01期,新竹市新竹市林森路49號3樓,2022/01/23,2022/02/23,在職,藝術與設計
西歐花卉設計班第01期,新竹市新竹市林森路49號3樓,2022/01/22,2022/02/22,在職,藝術與設計
東歐花藝美學創作班第01期,新竹市新竹市林森路49號3樓,2022/01/21,2022/02/21,在職,藝術與設計
國際醫療器材法規與開發趨勢實務班第01期,新竹市新竹市光復路２段101號,2022/01/19,2022/02/20,在職,行政與管理
新農業現代化創新農業管理班第02期,新竹市新竹市光復路２段101號,2022/01/16,2022/02/16,在職,行政與管理
智慧機械-Python程式設計基礎班第03期,新竹市新竹市民族路31號10樓,2022/01/16,2022/02/16,在職,科技與資訊技術
智慧機械-工業繪圖與3D列印訓練班第02期,新竹市新竹市民族路31號11樓,2022/01/13,2022/02/21,在職,科技與資訊技術
國際企業經營班一年期日語組,新竹市新竹市,2022/01/11,2022/06/30,青年,行政與管理
國際企業經營班一年期經貿實戰組(新竹),新竹市新竹市,2022/01/11,2022/06/30,青年,行政與管理
AI資料科學家人才養成班 第01期,新竹市,2022/01/10,2022/02/16,職前,科技與資訊技術
光電與AI生醫產業人才養成班(第二梯次),新竹市大學路1001號,2022/01/01,2022/03/15,青年,建築與工程
FPGA 系統晶片設計工程師培訓班(第二梯),新竹市光復路二段3號,2021/12/01,2022/04/01,青年,建築與工程
智慧機械與AI人工智慧技術應用訓練班-第3期,新竹市民族路31號11樓,2021/11/30,2022/01/19,青年,科技與資訊技術
智慧機械製圖設計人才培訓班-第3期,新竹市民族路31號11樓,2021/11/30,2022/02/23,青年,建築與工程
中階實用美語訓練班第01期,新竹市新竹市民族路31號11樓,2021/11/29,2021/12/29,在職,行政與管理
數位影像設計專班 第01期,新竹市,2021/11/24,2022/04/14,職前,藝術與設計
YouTube影音暨微電影技巧班第01期,新竹市新竹市民族路31號11樓,2021/11/23,2021/12/23,在職,科技與資訊技術
植萃應用保養品訓練班第01期,新竹市新竹市光復路２段101號,2021/11/23,2021/12/23,在職,行政與管理
韓式豆沙霜擠花創意班第01期,新竹市新竹市林森路49號3樓,2021/11/19,2021/12/19,在職,餐飲業
電腦影像美編設計(新竹) 第01期,新竹市,2021/11/18,2022/03/15,職前,藝術與設計
智慧機械-Python深度學習程式訓練班第01期,新竹市新竹市民族路31號11樓,2021/11/11,2021/12/25,在職,科技與資訊技術
中餐烹調美食訓練班第02期,新竹市新竹市田美三街2號,2021/11/11,2021/12/11,在職,餐飲業
實作導向軟體人才就業培訓專班,新竹市五福路二段707號,2021/11/09,2022/03/07,青年,行政與管理
機械智動化與3D列印工程師訓練班-第2期,新竹市民族路31號11樓,2021/11/05,2021/12/01,青年,建築與工程
智慧機械製圖設計人才培訓班-第2期,新竹市民族路31號11樓,2021/11/05,2021/12/08,青年,建築與工程
智慧機械與AI人工智慧技術應用訓練班 -第2期,新竹市民族路31號11樓,2021/11/05,2021/12/15,青年,科技與資訊技術
數位攝影與影像編修實務班第01期,新竹市新竹市民族路31號11樓,2021/10/29,2021/11/29,在職,藝術與設計
智慧機械-3D機械設計製圖訓練班第01期,新竹市新竹市民族路31號11樓,2021/10/28,2022/01/13,在職,建築與工程
資料處理暨報表分析人員培訓班 第01期,新竹市,2021/10/28,2022/01/24,職前,行政與管理
庫存與物料管理班第01期,新竹市新竹市光復路二段350號5樓,2021/10/27,2021/11/27,在職,行政與管理
服飾品配件製作班第02期,新竹市新竹市田美三街2號,2021/10/27,2021/11/27,在職,藝術與設計
樂齡健康膳食料理班第01期,新竹市新竹市田美三街二號5樓,2021/10/26,2021/11/26,在職,餐飲業
財富管理-數位金融人才培訓班,新竹市東區光復路二段101號,2021/10/25,2021/12/01,青年,行政與管理
智慧機械-Python人工智慧圖像處理進階班第01期,新竹市新竹市民族路31號11樓,2021/10/19,2021/12/13,在職,科技與資訊技術
AI跨領域數據科學人才培訓班(第一梯次),新竹市大學路1001號,2021/10/19,2021/12/07,青年,建築與工程
光電與AI生醫產業人才養成班(第一梯次),新竹市大學路1001號,2021/10/19,2021/12/15,青年,建築與工程
新農業現代化創新農業管理班第03期,新竹市新竹市光復路２段101號,2021/10/17,2021/12/13,在職,行政與管理
