課程名稱,上課地點,開放報名,開課日期,性質,職業分類
多元餐飲製作暨微創業行銷培訓班(第二期) 第02期,桃園市,2022/10/29,2022/12/29,職前,餐飲業
電腦影像美編設計班第01期,(330)桃園市桃園區大同路11號4樓,2022/10/27,2022/12/20,青年,藝術與設計
超人氣烘焙伴手禮班第01期,桃園市桃園區博愛路221號,2022/10/27,2022/11/27,在職,餐飲業
ERP進銷存內控流程管理實作班第01期,桃園市中壢區中央東路19號2樓,2022/10/27,2022/11/27,在職,行政與管理
韓語會話進階B班第02期,桃園市桃園區中山路468號7樓,2022/10/26,2022/11/26,在職,科技與資訊技術
植萃美膚保養品香氛精油調製班第03期,桃園市桃園區永樂街5號,2022/10/26,2022/11/26,在職,科技與資訊技術
商業文書暨社群品牌設計實戰班 第01期,桃園市,2022/10/26,2022/12/08,職前,行政與管理
商務OFFICE暨視覺設計養成班 第01期,桃園市,2022/10/25,2022/12/13,職前,藝術與設計
實用日語會話班第01期,桃園市中壢區中北路200號,2022/10/24,2022/11/24,在職,藝術與設計
電腦影像美編設計班(青年專班)第01期,(320)桃園市中壢區復興路46號12F,2022/10/24,2022/12/30,青年,建築與工程
Illustrator向量繪圖排版實務班第01期,桃園市中壢區復興路46號12樓,2022/10/20,2022/11/20,在職,科技與資訊技術
AutoCAD電腦輔助製圖訓練班第02期,桃園市中壢區中央東路19號2樓,2022/10/19,2022/11/26,在職,科技與資訊技術
PYTHON商業智慧程式設計進階班第01期,桃園市桃園區復興路180號4樓,2022/10/19,2022/11/19,在職,科技與資訊技術
Power BI數據應用實戰班第02期,桃園市中壢區遠東路135號,2022/10/19,2022/11/19,在職,科技與資訊技術
手創編織商品與電商行銷班 第01期,桃園市,2022/10/18,2022/11/08,職前,行政與管理
人身保險示範條款解析與判決研討實務班第08期,桃園市桃園區中山北路42號4樓,2022/10/17,2022/11/17,在職,行政與管理
Python網路爬蟲應用實務班第01期,桃園市中壢區健行路229號,2022/10/14,2022/11/13,在職,科技與資訊技術
學成就業-健康美學調理師培訓班 第01期,桃園市,2022/10/14,2022/11/21,職前,行政與管理
企業人資必備勞動法應用班第01期,桃園市桃園區民權路6號8樓之10,2022/10/13,2022/11/13,在職,行政與管理
美甲凝膠與軟模應用設計實務班第02期,桃園市桃園區中華路29號4樓,2022/10/13,2022/11/13,在職,科技與資訊技術
勞動法務管理實務班第01期,桃園市中壢區健行路229號,2022/10/13,2022/11/12,在職,行政與管理
西餐烘焙創意培訓班第二班次 第02期,桃園市,2022/10/13,2022/12/26,職前,餐飲業
租賃住宅管理實務班第01期,桃園市中壢區中央東路88號11樓,2022/10/12,2022/11/12,在職,行政與管理
EXCEL職場必備活用技巧班第01期,桃園市桃園區民族路55號5樓,2022/10/12,2022/11/12,在職,行政與管理
投資理財規劃實務班第01期,桃園市中壢區中北路200號,2022/10/12,2022/11/12,在職,行政與管理
職業安全衛生管理人員訓練班第04期,桃園市中壢區中央西路２段30號10樓,2022/10/10,2022/11/10,在職,行政與管理
多益聽力閱讀基礎班第05期,桃園市桃園區成功路２段7號,2022/10/08,2022/11/15,在職,藝術與設計
西班牙語會話班第01期,桃園市中壢區中北路200號,2022/10/07,2022/11/07,在職,科技與資訊技術
商業手機攝影與影片處理技巧實務班第01期,桃園市桃園區縣府路332號12樓,2022/10/06,2022/11/06,在職,科技與資訊技術
製造業品質保證五大核心工具實務運用訓練班第01期,桃園市桃園區縣府路110號9樓,2022/10/06,2022/11/06,在職,行政與管理
SketchUP室內設計與渲染實務班第01期,桃園市中壢區復興路46號12F,2022/10/06,2022/11/06,在職,藝術與設計
企業成本會計及稅務運用實務班第01期,桃園市桃園區縣府路312-3號,2022/10/06,2022/11/06,在職,行政與管理
ExcelVBA資料應用初階班第02期,桃園市中壢區中山路136號5樓,2022/10/06,2022/11/06,在職,科技與資訊技術
Mastercam3D銑床程式設計實務班第01期,桃園市中壢區健行路229號,2022/10/06,2022/11/06,在職,科技與資訊技術
PMP專案管理實務班第01期,桃園市桃園區復興路180號4樓,2022/10/05,2022/11/05,在職,行政與管理
商務口語表達技巧與內容企劃實務班第01期,桃園市桃園區成功路2段7號4樓,2022/10/05,2022/11/05,在職,行政與管理
空間規劃佈置與陽宅堪輿能力導入實務班第06期,桃園市桃園區中山北路36號4樓,2022/10/03,2022/11/03,在職,行政與管理
網頁前端工程師實戰班 第01期,桃園市,2022/10/03,2022/11/18,職前,科技與資訊技術
姓名屬性分析與人脈關係經營進階班第05期,桃園市桃園區中山北路36號4樓,2022/10/02,2022/11/02,在職,行政與管理
荷重在一公噸以上之堆高機操作人員訓練班第07期,桃園市中壢區中央西路２段30號15樓,2022/10/01,2022/11/01,在職,行政與管理
商業快速染、剪髮就業班 第-期,桃園市,2022/09/30,2022/10/17,職前,科技與資訊技術
時尚指甲彩繪與美甲3D立體造型班第01期,桃園市中壢區遠東路135號,2022/09/30,2022/10/30,在職,科技與資訊技術
輕型打檔機車修護實務班第02期,桃園市中壢區中華路２段369號1樓,2022/09/29,2022/10/29,在職,行政與管理
新制多益750聽力閱讀解析訓練班第03期,桃園市桃園區復興路98號12樓,2022/09/29,2022/10/29,在職,行政與管理
水彩花卉凝膠造型實務班第01期,桃園市桃園區中山路507巷60弄7號,2022/09/29,2022/10/29,在職,藝術與設計
IATF16949五大核心工具應用班第01期,桃園市大園區高鐵北路二段147號,2022/09/29,2022/10/29,在職,科技與資訊技術
商務談判與溝通說服技巧實務班第01期,桃園市桃園區縣府路332號12樓,2022/09/29,2022/11/12,在職,行政與管理
男士剪髮應用班第01期,桃園市中壢區吉林路49巷5之3號2樓,2022/09/29,2022/10/29,在職,藝術與設計
網紅部落格行銷暨自媒體文案SEO優化班第01期,桃園市桃園區復興路180號4樓,2022/09/29,2022/10/29,在職,科技與資訊技術
識別服務機器人開發工程師班,桃園市中壢區遠東路135號,2022/09/28,2022/11/01,青年,科技與資訊技術
電銲操作人員訓練班第01期,桃園市桃園區民族路55號5樓,2022/09/25,2022/10/25,在職,行政與管理
Fusion 360雲端CAD設計實務班第01期,桃園市中壢區健行路229號,2022/09/23,2022/10/23,在職,科技與資訊技術
Solidworks智慧機械產品專案設計實務班第01期,桃園市中壢區健行路229號,2022/09/23,2022/10/23,在職,行政與管理
情緒療癒精油芳療美膚調理班第02期,桃園市桃園區永樂街5號,2022/09/23,2022/10/23,在職,餐飲業
企業內部講師訓練班第01期,桃園市桃園區縣府路332號11樓,2022/09/23,2022/10/23,在職,行政與管理
觀光餐旅營運管理實務班 第02期,桃園市,2022/09/23,2022/12/26,職前,行政與管理
免程式工作自動化專案管理實務班第01期,桃園市中壢區健行路229號,2022/09/22,2022/10/22,在職,行政與管理
觀光餐旅營運管理實務班 第01期,桃園市,2022/09/22,2022/11/28,職前,行政與管理
西點麵包就業實作班 第01期,桃園市,2022/09/19,2022/12/30,職前,行政與管理
商業數位攝影技巧運用班第03期,桃園市桃園區中山路468號7樓,2022/09/18,2022/11/08,在職,科技與資訊技術
AutoCAD繪圖與3D列印建模班第02期,桃園市中壢區中北路200號,2022/09/17,2022/10/17,在職,科技與資訊技術
Python程式與人工智慧應用班第01期,桃園市中壢區中北路,2022/09/16,2022/10/16,在職,科技與資訊技術
Allegro 高速印刷電路板佈局設計進階班第01期,桃園市中壢區健行路229號,2022/09/16,2022/10/16,在職,科技與資訊技術
西點烘焙班第01期,桃園市龍潭區中豐路高平段418號,2022/09/16,2022/10/16,在職,餐飲業
砭術鬆筋手技實務班第04期,桃園市桃園區中山北路36號4樓,2022/09/16,2022/10/16,在職,科技與資訊技術
網路社群行銷暨手足凝膠美甲班 第01期,桃園市,2022/09/16,2022/11/14,職前,餐飲業
宴客料理實務班第01期,桃園市桃園區博愛路187號,2022/09/15,2022/10/15,在職,行政與管理
企業財務會計及稅務管理實務訓練班第01期,桃園市桃園區縣府路110號9樓,2022/09/15,2022/10/15,在職,行政與管理
CQE品質管理工程實務班第02期,桃園市大園區高鐵北路２段147號,2022/09/15,2022/10/15,在職,行政與管理
日文N5應用實務班第01期,桃園市桃園區自強路133之3號,2022/09/15,2022/12/10,在職,科技與資訊技術
PMP國際專案管理訓練班第01期,桃園市桃園區民權路6號8樓之10,2022/09/14,2022/10/15,在職,行政與管理
平車拷克縫紉技能培訓班(新住民專班) 第01期,桃園市,2022/09/14,2022/10/20,職前,建築與工程
原民意象特色袋包製作班(原住民專班) 第01期,桃園市,2022/09/14,2022/11/03,職前,藝術與設計
吊升荷重在三公噸以上之固定式起重機(架空型-地面操作)人員訓練班第06期,桃園市中壢區中央西路２段30號15樓,2022/09/13,2022/10/13,在職,行政與管理
專業美髮造型就業班(新住民專班) 第01期,桃園市,2022/09/12,2022/10/31,職前,行政與管理
價值投資分析與實務應用培訓班第01期,桃園市中壢區中北路200號,2022/09/11,2022/10/11,在職,行政與管理
生活日語進階班第02期,桃園市桃園區中山路468號7樓,2022/09/11,2022/10/11,在職,行政與管理
美學造藝技能師培訓班 第01期,桃園市,2022/09/07,2022/10/31,職前,行政與管理
整體造型創意美學班 第01期,桃園市,2022/09/07,2022/12/29,職前,藝術與設計
111旭登自訓自用01班(線上班) 第01期,桃園市,2022/09/07,2022/10/12,職前,行政與管理
時尚彩妝班美甲美睫培訓班 (原住民專班) 第01期,桃園市,2022/09/07,2022/10/27,職前,建築與工程
網路社群平台數位行銷班 第02期,桃園市,2022/09/07,2022/10/31,職前,科技與資訊技術
科技數據(GA)分析應用實戰 第02期,桃園市,2022/09/07,2022/10/28,職前,科技與資訊技術
資訊數位化應用工具班 第02期,桃園市,2022/09/07,2022/10/28,職前,科技與資訊技術
多益重點及實戰攻略訓練班第02期,桃園市桃園區中山路468號7樓,2022/09/06,2022/10/06,在職,行政與管理
肌力訓練與滾筒筋膜放鬆實務B班第05期,桃園市桃園區中山北路42號3樓,2022/09/06,2022/10/06,在職,行政與管理
六標準差進階綠帶實戰班第02期,桃園市大園區高鐵北路二段147號,2022/09/06,2022/10/06,在職,行政與管理
ZUMBA有氧運動舞蹈訓練班第01期,桃園市桃園區中山北路42號3樓,2022/09/04,2022/10/04,在職,科技與資訊技術
AIoT應用C++程式開發班第01期,桃園市中壢區中北路200號,2022/09/04,2022/11/12,在職,科技與資訊技術
男女髮型技術養成班 第01期,桃園市,2022/09/04,2022/10/24,職前,藝術與設計
芳香美體技術養成班 第01期,桃園市,2022/09/04,2022/12/28,職前,藝術與設計
Wordpress電商實戰班第01期,桃園市桃園區復興路180號4樓,2022/09/03,2022/10/03,在職,科技與資訊技術
沙龍剪髮應用技能班 第01期,桃園市,2022/09/03,2022/10/31,職前,藝術與設計
工業模具設計開發實務班第01期,桃園市桃園區縣府路110號9樓,2022/09/02,2022/09/18,在職,藝術與設計
股票技術分析實戰操作班第02期,桃園市桃園區中山路468號7樓,2022/09/02,2022/10/02,在職,行政與管理
國際貿易會計及稅務運用實務班第01期,桃園市桃園區縣府路312-3號,2022/09/01,2022/10/01,在職,行政與管理
智慧機械自動化機器人作業系統實務班第01期,桃園市中壢區健行路229號,2022/09/01,2022/10/01,在職,科技與資訊技術
3D列印實務班(幼獅) 第01期,桃園市,2022/09/01,2022/10/26,職前,科技與資訊技術
CNC銑床實務班(幼獅) 第01期,桃園市,2022/09/01,2022/10/26,職前,建築與工程
多元會展佈置花藝設計專才應用班第08期,桃園市桃園區中山北路42號4樓,2022/08/30,2022/09/30,在職,藝術與設計
CQT品質管理技術人員訓練班第01期,桃園市中壢區健行路229號,2022/08/29,2022/09/29,在職,行政與管理
BIM建築設計與建模實務班第01期,桃園市桃園區復興路180號4樓,2022/08/29,2022/09/29,在職,藝術與設計
室內設計基礎班第01期,桃園市中壢區遠東路135號,2022/08/27,2022/09/27,在職,藝術與設計
Excel商業管理應用進階訓練班第01期,桃園市桃園區縣府路332號11樓,2022/08/26,2022/09/26,在職,行政與管理
芳療照護實務應用班第01期,桃園市桃園區中華路29號4樓,2022/08/26,2022/09/26,在職,行政與管理
經絡調理實務班第01期,桃園市桃園區南華街77號10樓之2,2022/08/25,2022/09/25,在職,金融與會計
茶葉感官品評與生活茶美學班第03期,桃園市中壢區中央東路 88 號 11 樓-1,2022/08/25,2022/09/25,在職,行政與管理
UIUX視覺介面互動設計班第01期,桃園市中壢區復興路46號12F,2022/08/25,2022/09/25,在職,科技與資訊技術
UI/UX設計實務班第01期,桃園市中壢區遠東路135號,2022/08/25,2022/10/23,在職,藝術與設計
自動化與機器人實務(桃園) 第01期,桃園市,2022/08/25,2022/10/20,職前,科技與資訊技術
商用日文會話進階訓練班第01期,桃園市桃園區縣府路332號11樓,2022/08/24,2022/09/24,在職,行政與管理
烘焙點心暨咖啡調製班第01期,桃園市桃園區博愛路221號,2022/08/24,2022/09/24,在職,餐飲業
實用英語會話入門班第07期,桃園市桃園區中山北路42號4樓,2022/08/23,2022/09/23,在職,科技與資訊技術
西餐烘焙創意培訓班第一班次 第01期,桃園市,2022/08/23,2022/10/24,職前,餐飲業
傳統整復推拿初級技術員職能基準單元課程班第01期,桃園市桃園區南華街77號10樓之2,2022/08/22,2022/09/22,在職,行政與管理
網路社群平台數位行銷班 第01期,桃園市,2022/08/22,2022/09/29,職前,科技與資訊技術
科技數據(GA)分析應用實戰班 第01期,桃園市,2022/08/22,2022/09/28,職前,科技與資訊技術
資訊數位化應用工具班 第01期,桃園市,2022/08/22,2022/09/28,職前,科技與資訊技術
美甲專業人員全科班 第02期,桃園市,2022/08/22,2022/12/30,職前,行政與管理
美甲專業人員全科班 第01期,桃園市,2022/08/22,2022/10/21,職前,行政與管理
金屬飾品設計與製作基礎班第02期,桃園市中壢區萬能路1號,2022/08/21,2022/09/21,在職,藝術與設計
稅務及信託規劃暨資產傳承應用實務班第07期,桃園市桃園區中山北路42號4樓,2022/08/21,2022/09/21,在職,行政與管理
中餐烹調進階班第01期,桃園市桃園區博愛路187號,2022/08/19,2022/09/18,在職,餐飲業
日語N5初級II班第06期,桃園市桃園區中山北路42號4樓,2022/08/19,2022/09/18,在職,科技與資訊技術
韓語中級班第05期,桃園市桃園區中山北路42號4樓,2022/08/19,2022/09/18,在職,藝術與設計
Excel函數分析實務應用班第01期,桃園市中壢區中北路200號,2022/08/19,2022/09/18,在職,科技與資訊技術
實用韓語會話班第01期,桃園市中壢區中北路200號,2022/08/19,2022/10/30,在職,藝術與設計
空間整體裝修工程工料分析應用班第01期,桃園市桃園區民權路6號4樓,2022/08/19,2022/10/24,在職,藝術與設計
流行音樂二胡拉弦演奏班第02期,桃園市中壢區中央東路88號11F-1,2022/08/19,2022/09/18,在職,科技與資訊技術
網紅彩妝設計形象行銷班第01期,桃園市中壢區興農路49號2樓,2022/08/18,2022/09/18,在職,科技與資訊技術
瑜珈教學人員應用實務班第14期,桃園市桃園區中山北路42號3樓,2022/08/18,2022/09/17,在職,行政與管理
Excel增益集和自動化數據分析實務班第01期,桃園市中壢區健行路229號,2022/08/18,2022/10/16,在職,科技與資訊技術
人工智慧TensorFlow影像辨識開發應用班第01期,桃園市中壢區健行路229號,2022/08/18,2022/09/18,在職,科技與資訊技術
3D列印設計與成品製造班第02期,桃園市中壢區中央東路19號2樓,2022/08/18,2022/10/02,在職,科技與資訊技術
專業美髮造型就業班 第01期,桃園市,2022/08/18,2022/11/14,職前,行政與管理
Altium Designer電路板佈局設計實務班第01期,桃園市中壢區健行路229號,2022/08/17,2022/09/17,在職,科技與資訊技術
C#程式與VR元宇宙虛擬實境應用班第01期,桃園市中壢區中北路200號,2022/08/17,2022/09/17,在職,科技與資訊技術
商業數據視覺化應用班第01期,桃園市中壢區遠東路135號,2022/08/17,2022/09/17,在職,科技與資訊技術
職場多益英語應用班第01期,桃園市中壢區健行路229號,2022/08/17,2022/09/17,在職,科技與資訊技術
物料及倉儲管理實務訓練班第01期,桃園市桃園區縣府路110號9樓,2022/08/17,2022/09/17,在職,行政與管理
企業精實管理改善實務班第01期,桃園市桃園區民權路6號8樓之10,2022/08/17,2022/09/17,在職,行政與管理
廣告文案與品牌故事設計技巧實作班第03期,桃園市桃園區成功路2段7號4樓,2022/08/17,2022/09/17,在職,行政與管理
數位行銷與社群亮點訓練班第01期,桃園市桃園區復興路98號12樓,2022/08/17,2022/09/17,在職,科技與資訊技術
實用英文會話班第01期,桃園市中壢區中北路200號,2022/08/17,2022/09/17,在職,藝術與設計
實用與創意美型清潔用品班第02期,桃園市桃園區中山路468號7樓,2022/08/16,2022/09/17,在職,藝術與設計
故事影響力及業務需求分析銷售實務班第02期,桃園市桃園區中山北路４２號４樓,2022/08/16,2022/09/30,在職,行政與管理
稅務與資產傳承規劃暨投資理財應用班第06期,桃園市桃園區中山北路42號4樓,2022/08/15,2022/09/15,在職,行政與管理
個人職場品牌建立與管理班第01期,桃園市桃園區民權路6號8樓之10,2022/08/15,2022/11/03,在職,行政與管理
Java雲端服務開發技術養成班(第三梯次),桃園市中壢區復興路46號8~9樓,2022/08/15,2022/10/11,青年,科技與資訊技術
AI實務應用與晶片設計班,桃園市龜山區文化一路259號長庚大學,2022/08/15,2022/10/03,青年,科技與資訊技術
前端工程師專業技術養成班(第三梯次),桃園市中壢區復興路46號8~9樓,2022/08/15,2022/08/29,青年,建築與工程
綠能設計建築實務班,桃園市中壢區中央東路55號,2022/08/15,2022/12/15,青年,藝術與設計
AI智慧應用開發實戰養成班(第三梯次),桃園市中壢區復興路46號8-9樓,2022/08/15,2022/09/12,青年,科技與資訊技術
多元餐飲製作暨微創業行銷培訓班 第01期,桃園市,2022/08/14,2022/10/24,職前,行政與管理
AutoCAD 室內設計製圖班第01期,桃園市桃園區復興路180號4樓,2022/08/13,2022/09/13,在職,藝術與設計
職人調煮與咖啡香烘焙技能班第02期,桃園市平鎮區義民路193號,2022/08/13,2022/09/13,在職,藝術與設計
生活日文基礎會話班第02期,桃園市桃園區中山路468號7樓,2022/08/12,2022/09/12,在職,行政與管理
養生保健足體舒壓師班(按摩)(產訓合作) 第02期,桃園市,2022/08/08,2022/09/20,職前,行政與管理
芳香美容實務班第03期,桃園市中壢區中央東路88號11樓之4,2022/08/07,2022/09/07,在職,行政與管理
數位商業攝影班第02期,桃園市龜山區德明路5號,2022/08/07,2022/09/07,在職,科技與資訊技術
蔬果雕盤飾實務班第01期,桃園市桃園區博愛路221號,2022/08/07,2022/09/07,在職,藝術與設計
西式烘焙點心班第01期,桃園市桃園區博愛路221號,2022/08/06,2022/09/06,在職,餐飲業
拉丁舞蹈綜合訓練班第01期,桃園市蘆竹區南崁路２段9號3F-1,2022/08/06,2022/09/06,在職,科技與資訊技術
車禍善後處理專業人才實務班第05期,桃園市桃園區中山北路42號4樓,2022/08/06,2022/09/06,在職,行政與管理
經絡調理手技綜合應用班第05期,桃園市桃園區中山北路36號4樓,2022/08/05,2022/09/05,在職,金融與會計
泰語會話基礎班第01期,桃園市蘆竹區南崁路265號6樓之6,2022/08/05,2022/09/05,在職,科技與資訊技術
新南向國際貿易實務培訓班第01期,桃園市中壢區中北路200號,2022/08/05,2022/10/17,在職,行政與管理
